,Usuario,Texto,Dispositivo,Fecha Creacion,Ubicacion
46,Pamela Astudillo,RT @GATITOSCHILENOS: #PlazaDeLaDignidad Ayúdenme a que la justicia aplique la ley contra el maltrato animal A TODA PERSONA QUE VIVA EN CHIL…,Twitter for iPhone,2020-02-22 22:18:32,
47,Gom,RT @GATITOSCHILENOS: #PlazaDeLaDignidad Ayúdenme a que la justicia aplique la ley contra el maltrato animal A TODA PERSONA QUE VIVA EN CHIL…,Twitter for Android,2020-02-22 22:18:06,
48,WAPA,¿Sabías que el pangolín podría extinguirse incluso antes de llegar a ser conocido? https://t.co/OBMemL6Aia https://t.co/tvgDnim2S2,TweetDeck,2020-02-22 22:00:00,Lima - Perú
49,Claudia Rochefort,RT @GATITOSCHILENOS: #PlazaDeLaDignidad Ayúdenme a que la justicia aplique la ley contra el maltrato animal A TODA PERSONA QUE VIVA EN CHIL…,Twitter Web App,2020-02-22 21:54:02,"Requinoa, Chile"
50,Ximena A.G,RT @GATITOSCHILENOS: #PlazaDeLaDignidad Ayúdenme a que la justicia aplique la ley contra el maltrato animal A TODA PERSONA QUE VIVA EN CHIL…,Twitter for Android,2020-02-22 21:15:54,Chile
51,dudemb,@eugenia77742791 @RommyStock @Erwinfotografo Yaa pruebas de que los frien vivos ?? Tengo muchas mascotas y tengo an… https://t.co/2cYkwMiSVO,Twitter for iPhone,2020-02-22 21:06:14,Araucania
52,paul dassori a,RT @GATITOSCHILENOS: #PlazaDeLaDignidad Ayúdenme a que la justicia aplique la ley contra el maltrato animal A TODA PERSONA QUE VIVA EN CHIL…,Twitter Web App,2020-02-22 20:44:42,
53,Lfante,RT @GATITOSCHILENOS: #PlazaDeLaDignidad Ayúdenme a que la justicia aplique la ley contra el maltrato animal A TODA PERSONA QUE VIVA EN CHIL…,Twitter for Android,2020-02-22 20:14:03,"Santiago, Chile."
54,Beatriz Tapia Bravo,RT @GATITOSCHILENOS: #PlazaDeLaDignidad Ayúdenme a que la justicia aplique la ley contra el maltrato animal A TODA PERSONA QUE VIVA EN CHIL…,Twitter for Android,2020-02-22 20:12:50,"Valparaíso, Chile"
55,Dolly Mancilla,RT @any_dbt: Hago mías también las palabras de @La_Labot ya que debemos cambiar ésto y que sólo personas responsables y con los recursos ne…,Twitter for Android,2020-02-22 20:00:31,
56,Hector Yakobi - Apruebo Nueva Constitución,RT @GATITOSCHILENOS: #PlazaDeLaDignidad Ayúdenme a que la justicia aplique la ley contra el maltrato animal A TODA PERSONA QUE VIVA EN CHIL…,Twitter for Android,2020-02-22 19:59:11,"Maipú, Santiago de Chile"
57,Cristian Macías,"RT @GuadalajaraGob: Se aprobó la iniciativa para la implementación de campañas permanentes de sensibilización respecto al maltrato animal,…",Twitter for Android,2020-02-22 16:53:54,
58,Cs Alcobendas,"RT @mangelarranz: 🐾Celebramos la jornada bienestar animal y fomento de la adopción
🐱Las mascotas son parte de nuestra familia y tenemos que…",Twitter for Android,2020-02-22 14:58:18,"Alcobendas, Madrid"
59,Jose Manuel,RT @GATITOSCHILENOS: Ayúdenme a que la justicia aplique la ley contra el maltrato animal A TODA PERSONA QUE VIVA EN CHILE sin proteger a na…,Twitter for Android,2020-02-22 14:46:21,Chile
60,Jose Manuel,RT @GATITOSCHILENOS: #PlazaDeLaDignidad Ayúdenme a que la justicia aplique la ley contra el maltrato animal A TODA PERSONA QUE VIVA EN CHIL…,Twitter for Android,2020-02-22 14:42:53,Chile
61,#lore y rechazo..,RT @GATITOSCHILENOS: #PlazaDeLaDignidad Ayúdenme a que la justicia aplique la ley contra el maltrato animal A TODA PERSONA QUE VIVA EN CHIL…,Twitter for Android,2020-02-22 14:19:02,"via lactea, tercer planeta."
62,Miguel Ángel Arranz🇪🇸🇪🇺🇫🇷,"🐾Celebramos la jornada bienestar animal y fomento de la adopción
🐱Las mascotas son parte de nuestra familia y tenem… https://t.co/lNtg8viV8q",Twitter for iPhone,2020-02-22 13:51:43,"Alcobendas, España"
63,GatitosChilenos,#PlazaDeLaDignidad Ayúdenme a que la justicia aplique la ley contra el maltrato animal A TODA PERSONA QUE VIVA EN C… https://t.co/aj3idPJ5TH,Twitter for iPhone,2020-02-22 13:23:07,Santiago
64,GatitosChilenos,Ayúdenme a que la justicia aplique la ley contra el maltrato animal A TODA PERSONA QUE VIVA EN CHILE sin proteger a… https://t.co/TKcAWhBLvT,Twitter for iPhone,2020-02-22 13:21:32,Santiago
65,Camargo'S Boys,RT @Ondas1470: Jornada de adopción de mascotas se realizará este domingo en Ibagué. Este evento tendrá lugar en el Centro Comercial Acqua q…,Twitter for iPhone,2020-02-22 12:57:22,
66,Pame Labot,RT @any_dbt: Hago mías también las palabras de @La_Labot ya que debemos cambiar ésto y que sólo personas responsables y con los recursos ne…,Twitter Web App,2020-02-22 12:40:28,Planeta Pitita
67,ONDAS DE IBAGUÉ 1470,Jornada de adopción de mascotas se realizará este domingo en Ibagué. Este evento tendrá lugar en el Centro Comercia… https://t.co/MLXC2pug0T,Twitter Web App,2020-02-22 12:30:53,"Ibagué, Tolima"
68,AnyDBT,Hago mías también las palabras de @La_Labot ya que debemos cambiar ésto y que sólo personas responsables y con los… https://t.co/ngxFXr5poZ,Twitter for Android,2020-02-22 12:16:47,
69,hiromy raymundo,"RT @GuadalajaraGob: Se aprobó la iniciativa para la implementación de campañas permanentes de sensibilización respecto al maltrato animal,…",Twitter for Android,2020-02-22 12:06:38,
70,Beatriz Mendez,"@AntonioAcuaPani Que indolencia y dureza de corazón  tienen las personas que abandonan a sus mascotas,  llevándolos… https://t.co/ZhSSj7DDfI",Twitter for Android,2020-02-22 08:00:21,Venezuela
71,victorgonzalearrambide,"RT @GuadalajaraGob: Se aprobó la iniciativa para la implementación de campañas permanentes de sensibilización respecto al maltrato animal,…",Twitter for iPhone,2020-02-22 06:56:14,
72,Vecinos Alcalde B,"RT @GuadalajaraGob: Se aprobó la iniciativa para la implementación de campañas permanentes de sensibilización respecto al maltrato animal,…",Twitter Web App,2020-02-22 06:51:24,"Guadalajara, Jalisco México"
